name,latitude,longitude,address,types
Restroom,34.1212335,-118.2734046,"4400 Crystal Springs Dr, Los Angeles, CA 90027, United States","point_of_interest, establishment"
Montecito Recreation Center Publilc Restrooms,34.0956757,-118.2032818,"Los Angeles, CA 90031, United States","point_of_interest, establishment"
Public Restroom,34.063169,-118.3550152,"675 S Curson Ave, Los Angeles, CA 90036, United States","point_of_interest, establishment"
Public Restrooms,34.0728792,-118.4293339,"601 Club View Dr, Los Angeles, CA 90024, United States","point_of_interest, establishment"
Restrooms,34.0901922,-118.1942604,"Los Angeles, CA 90031, United States","point_of_interest, establishment"
Public Restrooms,33.950381,-118.4463001,"Playa Del Rey, CA 90293, United States","point_of_interest, establishment"
La officinas,34.0733229,-118.2599956,"751 Echo Park Ave, Los Angeles, CA 90026, United States","point_of_interest, establishment"
Restrooms,33.9782554,-118.4669003,"Venice, CA 90292, United States","point_of_interest, establishment"
Restrooms,33.9398396,-118.4402908,"4129001902, Playa Del Rey, CA 90293, United States","point_of_interest, establishment"
La Cienega Park Public Restrooms,34.0617231,-118.3751792,"Beverly Hills, CA 90211, United States","point_of_interest, establishment"
Lincoln Park Public Restrooms #1,34.0673402,-118.1996468,"Lincoln Heights, CA 90031, United States","point_of_interest, establishment"
Men's Restroom,34.0733596,-118.3561313,"Los Angeles, CA 90036, United States","point_of_interest, establishment"
Restroom #24,34.0496857,-118.0680313,"California 91733, United States","point_of_interest, establishment"
Public Restrooms,34.0455976,-118.4125234,"2459 Motor Ave, Los Angeles, CA 90064, United States","point_of_interest, establishment"
Public Restrooms,34.0136414,-118.3718982,"Los Angeles, CA 90008, United States","point_of_interest, establishment"
Beverly Gardens Restrooms,34.0728328,-118.4027379,"486-492 N Canon Dr, Beverly Hills, CA 90210, United States","point_of_interest, establishment"
Restrooms,33.983379,-118.4715124,"Playa Del Rey, CA 90291, United States","point_of_interest, establishment"
Restrooms,34.1795977,-118.4727747,"Sherman Oaks, CA 91411, United States","point_of_interest, establishment"
Tongva Park Public Restrooms,34.0108268,-118.4931439,"Santa Monica, CA 90401, United States","point_of_interest, establishment"
Public Restrooms,33.7109562,-118.3013536,"607 W Paseo Del Mar, San Pedro, CA 90731, United States","point_of_interest, establishment"
Restrooms,34.0590149,-118.4061554,"South Roxbury Drive Beverly Hills, Beverly Hills, CA 90212, United States","point_of_interest, establishment"
Public Restroom (Customer Use),34.0903821,-118.3096696,"Inside WingStop 1234, W 107th St, Los Angeles, CA 90038, United States","point_of_interest, establishment"
Jesse Owens Park Public Restrooms,33.946151,-118.3097041,"Los Angeles, CA 90047, United States","point_of_interest, establishment"
Public restrooms,34.0458554,-118.2475242,"200 E 5th St, Los Angeles, CA 90013, United States","point_of_interest, establishment"
Restroom #21,34.0434042,-118.0689367,"California 91770, United States","point_of_interest, establishment"
Steve Soboroff Court Park Public Restrooms,33.9832124,-118.4009968,"Playa Vista, CA 90094, United States","point_of_interest, establishment"
Edward Vincent Jr Park Public Restrooms 3,33.9743077,-118.3433108,"Inglewood, CA 90302, United States","point_of_interest, establishment"
Public Restrooms,34.0065482,-118.3620207,"Baldwin Hills, CA 90008, United States","point_of_interest, establishment"
Restroom #26,34.0500114,-118.0696194,"California 91733, United States","point_of_interest, establishment"
William S Hart Park Public Restrooms,34.0953893,-118.3716982,"West Hollywood, CA 90069, United States","point_of_interest, establishment"
Restroom,33.9571566,-118.4511573,"6900 Pacific Ave, Playa Del Rey, CA 90293, United States","point_of_interest, establishment"
Averill Park Public Restrooms,33.7327981,-118.3103192,"1300 S Dodson Ave, San Pedro, CA 90732, United States","point_of_interest, establishment"
Eagle Rock Dog Park Public Restrooms,34.1409345,-118.1872924,"1100 Eagle Vista Dr, Eagle Rock, CA 90041, United States","point_of_interest, establishment"
Virginia Avenue Park Public Restrooms,34.0217055,-118.4685266,"2201 Pico Blvd, Santa Monica, CA 90405, United States","point_of_interest, establishment"
West Hollywood Park Public Restroom,34.0833044,-118.3848837,"West Hollywood, CA 90069, United States","point_of_interest, establishment"
Restroom,34.004622,-118.4909794,"20 Bicknell Ave, Santa Monica, CA 90401, United States","point_of_interest, establishment"
Will Roger’s Park Restrooms,34.0545535,-118.5128379,"1421 Will Rogers State Park Rd, Pacific Palisades, CA 90272, United States","point_of_interest, establishment"
Edward Vincent Jr Park Public Restrooms 4,33.9723723,-118.3442115,"700 Warren Ln, Inglewood, CA 90302, United States","point_of_interest, establishment"
Silver Lake Recreation Center Public Restrooms,34.0923561,-118.2667753,"1850 W Silver Lake Dr, Los Angeles, CA 90026, United States","point_of_interest, establishment"
Mar Vista Recreation Center Public Restrooms,34.0179328,-118.4289428,"Los Angeles, CA 90066, United States","point_of_interest, establishment"
Public restrooms,34.0537258,-118.4465868,"3H33+F9, Los Angeles, CA 90024, United States","point_of_interest, establishment"
Hoover Recreation Center Public Restrooms,34.03261579999999,-118.2829701,"1032 W 25th St, Los Angeles, CA 90007, United States","point_of_interest, establishment"
Bellevue Recreation Center Public Restrooms,34.0842016,-118.2830569,"Marathon St, Los Angeles, CA 90026, United States","point_of_interest, establishment"
PayRestroom,34.0655648,-118.2374584,"452 Gin Ling Wy, Los Angeles, CA 90012, United States","point_of_interest, establishment"
Lincoln Park Public Restrooms #3,34.0666029,-118.204011,"Lincoln Heights, CA 90031, United States","point_of_interest, establishment"
Restrooms,33.9905058,-118.4770939,"828 Ocean Front Walk, Venice, CA 90291, United States","point_of_interest, establishment"
Public Restrooms,34.0755053,-118.2604123,"1800 Park Ave, Los Angeles, CA 90026, United States","point_of_interest, establishment"
Restroom,34.0468588,-118.4089267,"Motor SB & Cheviot Playground MB, Los Angeles, CA 90064, United States","point_of_interest, establishment"
Beach Shower Stand,33.9781887,-118.4668271,"Venice, CA 90292, United States","point_of_interest, establishment"
"Elite Sanitation, Inc",34.1252003,-118.2316299,"4104 1/2 Verdugo Rd, Los Angeles, CA 90065, United States","point_of_interest, establishment"
Quick Porta Potty Rental Los Angeles,34.0488477,-118.2514257,"448 S Hill St #1952, Los Angeles, CA 90013, United States","point_of_interest, establishment"
Restrooms,34.0263287,-118.5143078,"201 Ocean Ave Ext, Santa Monica, CA 90402, United States","point_of_interest, establishment"
Public Restrooms,33.7876657,-118.2948323,"Wilmington, CA 90744, United States","point_of_interest, establishment"
A Plus Portable Services,33.915406,-118.281826,"417 W 129th St, Los Angeles, CA 90061, United States","point_of_interest, establishment"
Restrooms,33.9861033,-118.4731498,"1725 Ocean Front Walk, Venice, CA 90291, United States","point_of_interest, establishment"
Restrooms,33.741399,-118.2778574,"San Pedro, CA 90731, United States","point_of_interest, establishment"
restroom,34.013438,-118.4933742,"305-311 Colorado Ave, Santa Monica, CA 90401, United States","point_of_interest, establishment"
Royal Palms Picnic Area Restrooms,33.7189919,-118.3231141,"1801 W Paseo Del Mar, San Pedro, CA 90732, United States","point_of_interest, establishment"
Culver City Park Bathroom,34.0153248,-118.3875145,"Duquesne Ave, Culver City, CA 90232, United States","point_of_interest, establishment"
Lincoln Park Public Restrooms #2,34.0654746,-118.2003615,"Lincoln Heights, CA 90031, United States","point_of_interest, establishment"
Santee Alley,34.0378628,-118.2530134,"945 Wall St, Los Angeles, CA 90015, United States","point_of_interest, establishment"
Public Toilet,34.0447736,-118.2479689,"560s S Los Angeles St, Los Angeles, CA 90013, United States","point_of_interest, establishment"
Hollenbeck Park Public Restrooms 1,34.0423318,-118.2168404,"415 S St Louis St, Los Angeles, CA 90033, United States","point_of_interest, establishment"
Restroom,34.080107,-118.4129324,"800-876 N Canon Dr, Beverly Hills, CA 90210, United States","point_of_interest, establishment"
Griffith Park Public Restrooms,34.133119,-118.283548,"4730 Crystal Springs Dr, Los Angeles, CA 90027, United States","point_of_interest, establishment"
Potty time !,34.0377986,-118.2530823,"945 Wall St Unit#6, Los Angeles, CA 90015, United States","point_of_interest, establishment"
South Bay Porta Potty,33.9150337,-118.2823107,"12910 S Figueroa St, Los Angeles, CA 90061, United States","point_of_interest, establishment"
Diamond Environmental Services LP,33.9873809,-118.2378932,"5925 Alameda St, Los Angeles, CA 90001, United States","point_of_interest, establishment"
SOS TOILETS LLC,34.2623664,-118.4191831,"10560 Ilex Ave, Pacoima, CA 91331, United States","point_of_interest, establishment"
Temescal Canyon Park Public Restrooms,34.0372265,-118.533404,"Los Angeles, CA 90272, United States","point_of_interest, establishment"
Culver Slauson Recreation Center Public Restrooms,33.993756,-118.4060965,"Los Angeles, CA 90230, United States","point_of_interest, establishment"
public-restroom,34.1163766,-118.2702413,"3401 Riverside Dr, Los Angeles, CA 90027, United States","point_of_interest, establishment"
Edward Vincent Jr Park Public Restrooms 2,33.9747062,-118.3409861,"Inglewood, CA 90302, United States","point_of_interest, establishment"
Public Restrooms,33.9344431,-118.4375313,"Venice, CA 90293, United States","point_of_interest, establishment"
Public Bathroom,33.9595319,-118.4500988,"Los Angeles, CA 90293, United States","point_of_interest, establishment"
Public restroom,34.0682357,-118.3992269,"Beverly Hills, CA 90210, United States","point_of_interest, establishment"
