STOPNUM,LINE,DIR,STOPNAME,LAT,LONG,geometry
1,265,S,Paramount / Slauson,33.973248,-118.113113,POINT (-118.113113 33.973248)
3,35,N,Jefferson / 10th,34.025471,-118.328402,POINT (-118.328402 34.025471)
6,53,N,120th / Augustus F Hawkins,33.924696,-118.242222,POINT (-118.242222 33.924696)
6,120,W,120th / Augustus F Hawkins,33.924696,-118.242222,POINT (-118.242222 33.924696)
6,55,N,120th / Augustus F Hawkins,33.924696,-118.242222,POINT (-118.242222 33.924696)
6,53,S,120th / Augustus F Hawkins,33.924696,-118.242222,POINT (-118.242222 33.924696)
7,53,N,120th / Martin Luther King Hospital,33.924505,-118.240369,POINT (-118.240369 33.924505)
7,120,E,120th / Martin Luther King Hospital,33.924505,-118.240369,POINT (-118.240369 33.924505)
7,55,S,120th / Martin Luther King Hospital,33.924505,-118.240369,POINT (-118.240369 33.924505)
12,162,E,15054 Sherman Way,34.201075,-118.461953,POINT (-118.461953 34.201075)
16,96,N,Riverside / Los Feliz,34.116932,-118.271486,POINT (-118.271486 34.116932)
18,106,S,1st / Eastern,34.036881,-118.173232,POINT (-118.173232 34.036881)
19,665,S,Indiana / Olympic,34.018999,-118.192361,POINT (-118.192361 34.018999)
25,62,N,226th / Norwalk,33.823987,-118.072255,POINT (-118.072255 33.823987)
25,62,S,226th / Norwalk,33.823987,-118.072255,POINT (-118.072255 33.823987)
29,33,E,2nd / Santa Monica,34.015028,-118.497346,POINT (-118.497346 34.015028)
31,16,E,3rd / Gardner,34.07024,-118.353264,POINT (-118.353264 34.07024)
33,236,N,Balboa / Foothill West Jog,34.322084,-118.495243,POINT (-118.495243 34.322084)
38,4,E,5th / Colorado,34.013884,-118.490199,POINT (-118.490199 34.013884)
38,720,W,5th / Colorado,34.013884,-118.490199,POINT (-118.490199 34.013884)
38,720,E,5th / Colorado,34.013884,-118.490199,POINT (-118.490199 34.013884)
38,20,W,5th / Colorado,34.013884,-118.490199,POINT (-118.490199 34.013884)
38,20,E,5th / Colorado,34.013884,-118.490199,POINT (-118.490199 34.013884)
38,4,W,5th / Colorado,34.013884,-118.490199,POINT (-118.490199 34.013884)
40,10,W,Hill / 5th,34.048591,-118.251764,POINT (-118.251764 34.048591)
40,94,N,Hill / 5th,34.048591,-118.251764,POINT (-118.251764 34.048591)
40,81,N,Hill / 5th,34.048591,-118.251764,POINT (-118.251764 34.048591)
40,28,E,Hill / 5th,34.048591,-118.251764,POINT (-118.251764 34.048591)
42,18,W,6th / Burlington,34.057874,-118.270776,POINT (-118.270776 34.057874)
47,234,N,7th / Maclay,34.29398,-118.427206,POINT (-118.427206 34.29398)
49,205,S,7th / Patton,33.737857,-118.305722,POINT (-118.305722 33.737857)
51,115,W,St Bernard High School,33.953203,-118.433316,POINT (-118.433316 33.953203)
55,14,N,Adams / Fairfax,34.032361,-118.370491,POINT (-118.370491 34.032361)
